source_book,recommended_book,genre,similarity
"I, Alex Cross",Going Rogue: An American Life,Fiction,0.9987810927355407
"I, Alex Cross","Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Fiction,0.9982063833083872
"I, Alex Cross",Arguing with Idiots: How to Stop Small Minds and Big Government,Fiction,0.9961709720994192
"I, Alex Cross",The Five Dysfunctions of a Team: A Leadership Fable,Fiction,0.995406590538662
"I, Alex Cross",The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Fiction,0.995077318007321
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","The Red Pyramid (The Kane Chronicles, Book 1)",Non Fiction,0.9972031566797207
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Cutting for Stone,Non Fiction,0.9967980621758
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Cutting for Stone,Non Fiction,0.9964255700559552
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Sarah's Key,Non Fiction,0.9960032533272605
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Non Fiction,0.995132101194083
The Last Lecture,The Girl Who Played with Fire (Millennium Series),Non Fiction,0.9926094966039001
The Last Lecture,Eclipse (Twilight Sagas),Non Fiction,0.9922924469650789
The Last Lecture,Radical: Taking Back Your Faith from the American Dream,Non Fiction,0.9834592040430624
The Last Lecture,The Guernsey Literary and Potato Peel Pie Society,Non Fiction,0.9760297309592703
The Last Lecture,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Non Fiction,0.975178559944624
New Moon (The Twilight Saga),Cutting for Stone,Fiction,0.9924864763752048
New Moon (The Twilight Saga),Sarah's Key,Fiction,0.9830799633027367
New Moon (The Twilight Saga),"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Fiction,0.9798680380704087
New Moon (The Twilight Saga),The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Fiction,0.9772252111159528
New Moon (The Twilight Saga),The Five Dysfunctions of a Team: A Leadership Fable,Fiction,0.9762055395501059
Diary of a Wimpy Kid: The Last Straw (Book 3),Liberty and Tyranny: A Conservative Manifesto,Fiction,0.9999999298883888
Diary of a Wimpy Kid: The Last Straw (Book 3),"The Lost Hero (Heroes of Olympus, Book 1)",Fiction,0.9948563486416102
Diary of a Wimpy Kid: The Last Straw (Book 3),The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Fiction,0.9944520047949
Diary of a Wimpy Kid: The Last Straw (Book 3),The Love Dare,Fiction,0.9915068752735532
Diary of a Wimpy Kid: The Last Straw (Book 3),"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Fiction,0.9891919803553165
"Breaking Dawn (The Twilight Saga, Book 4)",The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Fiction,0.9970969562734235
"Breaking Dawn (The Twilight Saga, Book 4)",New Moon (The Twilight Saga),Fiction,0.9651993085482052
"Breaking Dawn (The Twilight Saga, Book 4)","Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Fiction,0.9486333871550339
"Breaking Dawn (The Twilight Saga, Book 4)",The Guernsey Literary and Potato Peel Pie Society,Fiction,0.9483355075898696
"Breaking Dawn (The Twilight Saga, Book 4)",The Immortal Life of Henrietta Lacks,Fiction,0.9462348233866406
Watchmen,The 5 Love Languages: The Secret to Love That Lasts,Fiction,0.9797857516386477
Watchmen,The Book of Basketball: The NBA According to The Sports Guy,Fiction,0.9795163576722269
Watchmen,The 5 Love Languages: The Secret to Love That Lasts,Fiction,0.97079897750598
Watchmen,The 5 Love Languages: The Secret to Love That Lasts,Fiction,0.9681647250404373
Watchmen,A Stolen Life: A Memoir,Fiction,0.953699360504519
Olive Kitteridge,The Confession: A Novel,Fiction,0.9932212957165798
Olive Kitteridge,Tina Fey: Bossypants,Fiction,0.9931443525252032
Olive Kitteridge,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Fiction,0.9914927057326218
Olive Kitteridge,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Fiction,0.9873540835311739
Olive Kitteridge,Women Food and God: An Unexpected Path to Almost Everything,Fiction,0.9855786629141826
Under the Dome: A Novel,Winter of the World: Book Two of the Century Trilogy,Fiction,0.9931090590258671
Under the Dome: A Novel,The Litigators,Fiction,0.9890368111346487
Under the Dome: A Novel,The Lost Symbol,Fiction,0.9850583506559425
Under the Dome: A Novel,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Fiction,0.9617535835534103
Under the Dome: A Novel,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Fiction,0.9601445395908516
Outliers: The Story of Success,Outliers: The Story of Success,Non Fiction,0.9963826281666188
Outliers: The Story of Success,"Thinking, Fast and Slow",Non Fiction,0.9901943273980764
Outliers: The Story of Success,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Non Fiction,0.9824371483893634
Outliers: The Story of Success,Steve Jobs,Non Fiction,0.9546783896517371
Outliers: The Story of Success,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Non Fiction,0.9510266428765385
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Life,Non Fiction,0.9966687561456932
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Drive: The Surprising Truth About What Motivates Us,Non Fiction,0.9948594195809903
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",True Compass: A Memoir,Non Fiction,0.9885449065048483
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",George Washington's Sacred Fire,Non Fiction,0.9820515947991502
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Good to Great: Why Some Companies Make the Leap and Others Don't,Non Fiction,0.9815192940187595
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Non Fiction,0.9938979749787251
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,The Confession: A Novel,Non Fiction,0.9908090808363226
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Non Fiction,0.9891570706844478
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,The Lego Ideas Book: Unlock Your Imagination,Non Fiction,0.9880338699894141
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Olive Kitteridge,Non Fiction,0.9873540835311739
Crazy Love: Overwhelmed by a Relentless God,Crazy Love: Overwhelmed by a Relentless God,Non Fiction,0.9946364343872142
Crazy Love: Overwhelmed by a Relentless God,The Big Short: Inside the Doomsday Machine,Non Fiction,0.9807682619838056
Crazy Love: Overwhelmed by a Relentless God,Sh*t My Dad Says,Non Fiction,0.9798477293261011
Crazy Love: Overwhelmed by a Relentless God,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Non Fiction,0.9786501178023327
Crazy Love: Overwhelmed by a Relentless God,The Love Dare,Non Fiction,0.9744885521694097
The Help,The Help,Fiction,0.9943285762624334
The Help,The Art of Racing in the Rain: A Novel,Fiction,0.9870303272551852
The Help,The Help,Fiction,0.9760222842181545
The Help,The Help,Fiction,0.9742277374207697
The Help,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Fiction,0.9693818892311887
The Guernsey Literary and Potato Peel Pie Society,The Girl Who Played with Fire (Millennium Series),Fiction,0.9871437364834085
The Guernsey Literary and Potato Peel Pie Society,"Twilight (The Twilight Saga, Book 1)",Fiction,0.9859994541092384
The Guernsey Literary and Potato Peel Pie Society,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Fiction,0.9857435275982778
The Guernsey Literary and Potato Peel Pie Society,The Immortal Life of Henrietta Lacks,Fiction,0.9850241325754732
The Guernsey Literary and Potato Peel Pie Society,The Art of Racing in the Rain: A Novel,Fiction,0.9844929395948998
StrengthsFinder 2.0,StrengthsFinder 2.0,Non Fiction,0.9959969971525134
StrengthsFinder 2.0,StrengthsFinder 2.0,Non Fiction,0.9825989452842011
StrengthsFinder 2.0,The Elegance of the Hedgehog,Non Fiction,0.9820281094684707
StrengthsFinder 2.0,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Non Fiction,0.9804691992737888
StrengthsFinder 2.0,Tina Fey: Bossypants,Non Fiction,0.977730030331682
Eclipse (Twilight),The Girl Who Played with Fire (Millennium),Fiction,0.9916584523904429
Eclipse (Twilight),The Big Short: Inside the Doomsday Machine,Fiction,0.9846435334675527
Eclipse (Twilight),The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Fiction,0.9775480188413023
Eclipse (Twilight),The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Fiction,0.9752662736935499
Eclipse (Twilight),"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Fiction,0.9668569967033533
Eclipse (Twilight Sagas),The Girl Who Played with Fire (Millennium Series),Fiction,0.9971725863834332
Eclipse (Twilight Sagas),The Last Lecture,Fiction,0.9922924469650789
Eclipse (Twilight Sagas),The Immortal Life of Henrietta Lacks,Fiction,0.9864962738065725
Eclipse (Twilight Sagas),Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Fiction,0.9850245767200342
Eclipse (Twilight Sagas),The Guernsey Literary and Potato Peel Pie Society,Fiction,0.9786493094075162
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",The Lego Ideas Book: Unlock Your Imagination,Non Fiction,0.996672204120366
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",The Confession: A Novel,Non Fiction,0.992441732512511
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Non Fiction,0.9891570706844478
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Non Fiction,0.9851116778557137
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Non Fiction,0.978962364857703
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Non Fiction,0.982776929101673
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,The Five Dysfunctions of a Team: A Leadership Fable,Non Fiction,0.9777529345967888
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Non Fiction,0.9762310436787058
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,The Five Dysfunctions of a Team: A Leadership Fable,Non Fiction,0.9751383677353522
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Non Fiction,0.9744915672448887
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),The Five Dysfunctions of a Team: A Leadership Fable,Fiction,0.9996699225796407
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Arguing with Idiots: How to Stop Small Minds and Big Government,Fiction,0.9984341292747106
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Going Rogue: An American Life,Fiction,0.9962783321398508
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),The Five Dysfunctions of a Team: A Leadership Fable,Fiction,0.9950483136625715
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Fiction,0.993665705330828
"Publication Manual of the American Psychological Association, 6th Edition","Publication Manual of the American Psychological Association, 6th Edition",Non Fiction,0.9964469091779057
"Publication Manual of the American Psychological Association, 6th Edition",The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Non Fiction,0.9881137151153703
"Publication Manual of the American Psychological Association, 6th Edition",Killing Kennedy: The End of Camelot,Non Fiction,0.9861217857949841
"Publication Manual of the American Psychological Association, 6th Edition","Publication Manual of the American Psychological Association, 6th Edition",Non Fiction,0.984748953394264
"Publication Manual of the American Psychological Association, 6th Edition",The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Non Fiction,0.9746001710644568
Sookie Stackhouse,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Fiction,0.9943199546182456
Sookie Stackhouse,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Fiction,0.9883413449749412
Sookie Stackhouse,The 5 Love Languages: The Secret to Love That Lasts,Fiction,0.9769218639777855
Sookie Stackhouse,"Mastering the Art of French Cooking, Vol. 2",Fiction,0.9767472242555411
Sookie Stackhouse,Inheritance: Book IV (Inheritance Cycle),Fiction,0.9735435605893837
True Compass: A Memoir,Good to Great: Why Some Companies Make the Leap and Others Don't,Non Fiction,0.9962838736948123
True Compass: A Memoir,Drive: The Surprising Truth About What Motivates Us,Non Fiction,0.9951498325764784
True Compass: A Memoir,Good to Great: Why Some Companies Make the Leap and Others Don't,Non Fiction,0.9915475140173734
True Compass: A Memoir,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Non Fiction,0.9885449065048483
True Compass: A Memoir,Good to Great: Why Some Companies Make the Leap and Others Don't,Non Fiction,0.9860095074358189
"Twilight (The Twilight Saga, Book 1)",The Art of Racing in the Rain: A Novel,Fiction,0.9985163624088482
"Twilight (The Twilight Saga, Book 1)",The Art of Racing in the Rain: A Novel,Fiction,0.9899424461644295
"Twilight (The Twilight Saga, Book 1)",The Guernsey Literary and Potato Peel Pie Society,Fiction,0.9859994541092384
"Twilight (The Twilight Saga, Book 1)",Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Fiction,0.9713931037481136
"Twilight (The Twilight Saga, Book 1)",The Immortal Life of Henrietta Lacks,Fiction,0.964932138357199
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",The 5000 Year Leap,Fiction,0.998222215726735
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",The Love Dare,Fiction,0.9970079879400413
